"taxid","species_name","accession_num","seq_name","seq_len"
3035822,"Rubricatochromis bimaculatus",NA,NA,NA
2926661,"Pseudetroplus maculatus","AP009505","Pseudetroplus maculatus mitochondrial DNA, complete genome",16457
2591259,"Ptychochromis oligacanthus",NA,NA,NA
795476,"Teleogramma depressa",NA,NA,NA
762061,"Rubricatochromis letourneuxi","PQ014274","Rubricatochromis letourneuxi mitochondrion, complete genome",16698
745802,"Heros efasciatus",NA,NA,NA
673032,"Vieja bifasciata",NA,NA,NA
665408,"Congolapia bilineata",NA,NA,NA
661982,"Rocio octofasciata","NC_033548","Rocio octofasciata mitochondrion, complete genome",16539
407193,"Thorichthys maculipinnis",NA,NA,NA
329337,"Nandopsis tetracanthus",NA,NA,NA
318743,"Mayaheros urophthalmus",NA,NA,NA
293472,"Hemichromis elongatus",NA,NA,NA
284740,"Mikrogeophagus ramirezi","NC_031439","Mikrogeophagus ramirezi voucher MikRam_run4RL4 mitochondrion, complete genome",16526
272725,"Neolamprologus modestus",NA,NA,NA
247411,"Amphilophus trimaculatus",NA,NA,NA
244514,"Petrochromis polyodon",NA,NA,NA
244511,"Limnotilapia dardennii",NA,NA,NA
242820,"Andinoacara rivulatus","NC_025671","Andinoacara rivulatus mitochondrion, complete genome",16585
238224,"Paretroplus maculatus","NC_011177","Paretroplus maculatus mitochondrion, complete genome",16486
238217,"Ptychochromis grandidieri",NA,NA,NA
219385,"Bathybates fasciatus",NA,NA,NA
219373,"Nanochromis parilus",NA,NA,NA
172535,"Parachromis managuensis","NC_026918","Parachromis managuensis mitochondrion, complete genome",16526
172532,"Hypselecara temporalis","NC_011168","Hypselecara temporalis mitochondrion, complete genome",16544
172524,"Trichromis salvini",NA,NA,NA
172522,"Andinoacara pulcher","NC_033547","Andinoacara pulcher mitochondrion, complete genome",16513
167848,"Pseudosimochromis curvifrons",NA,NA,NA
167846,"Plecodus straeleni",NA,NA,NA
158894,"Oreochromis andersonii","NC_037019","Oreochromis andersonii mitochondrion, complete genome",16642
158779,"Pelmatolapia mariae",NA,NA,NA
143646,"Stomatepia mariae",NA,NA,NA
119479,"Herichthys labridens","KT222939","Herichthys labridens isolate MLClab NADH dehydrogenase subunit 5 (ND5) gene, partial cds; mitochondrial",1694
96998,"Petenia splendida","NC_024835","Petenia splendida mitochondrion, complete genome",16518
81351,"Retroculus xinguensis",NA,NA,NA
81341,"Satanoperca jurupari",NA,NA,NA
81336,"Cichla temensis","NC_084244","Cichla temensis mitochondrion, complete genome",16530
80772,"Paratilapia polleni","NC_011170","Paratilapia polleni mitochondrion, complete genome",16543
74137,"Uaru amphiacanthoides","NC_033550","Uaru amphiacanthoides mitochondrion, complete genome",16549
74121,"Hoplarchus psittacus",NA,NA,NA
73563,"Heterochromis multidens",NA,NA,NA
64551,"Tilapia sparrmanii",NA,NA,NA
64549,"Coptodon guineensis",NA,NA,NA
63165,"Caquetaia kraussii",NA,NA,NA
63160,"Amatitlania sajica",NA,NA,NA
61819,"Amphilophus citrinellus","NC_023827","Amphilophus citrinellus mitochondrion, complete genome",16522
61805,"Thorichthys meeki","NC_086569","Thorichthys meeki isolate F-T-m-1 mitochondrion, complete genome",16526
52954,"Eretmodus cyanostictus",NA,NA,NA
51791,"Cyprichromis leptosoma","AB915448","Cyprichromis leptosoma mitochondrial ND5 gene for NADH dehydrogenase subunit 5, partial cds, isolate: Cl1",1638
50613,"Sarotherodon melanotheron","NC_015611","Sarotherodon melanotheron mitochondrion, complete genome",16627
34808,"Neolamprologus toae",NA,NA,NA
34807,"Variabilichromis moorii",NA,NA,NA
34792,"Altolamprologus calvus",NA,NA,NA
32492,"Cardiopharynx schoutedeni",NA,NA,NA
32488,"Boulengerochromis microlepis","AB915446","Boulengerochromis microlepis mitochondrial ND5 gene for NADH dehydrogenase subunit 5, partial cds, strain: Bm1",1638
30882,"Cyrtocara moorii",NA,NA,NA
28827,"Pelvicachromis pulcher","MZ357707","Pelvicachromis pulcher mitochondrion, complete genome",17196
27783,"Cyphotilapia frontosa",NA,NA,NA
27755,"Ophthalmotilapia ventralis",NA,NA,NA
27733,"Bathybates ferox",NA,NA,NA
27731,"Aulonocranus dewindti",NA,NA,NA
8150,"Tropheus moorii","NC_018815","Tropheus moorii mitochondrion, complete genome",16590
8148,"Tropheus duboisi","NC_009063","Tropheus duboisi mitochondrion, complete genome",16598
8144,"Sarotherodon galilaeus","NC_056897","Sarotherodon galilaeus mitochondrion, complete genome",16630
8142,"Oreochromis tanganicae","MK951678","Oreochromis tanganicae mitochondrion, complete genome",16632
8130,"Coptodon zillii","PQ932612","Coptodon zillii mitochondrion, complete genome",16554
8128,"Oreochromis niloticus","PX311231","Oreochromis niloticus isolate TZ001 NADH dehydrogenase subunit 5 (ND5) and NADH dehydrogenase subunit 6 (ND6) genes, partial cds; mitochondrial",1907
8117,"Herichthys cyanoguttatus","NC_033546","Herichthys cyanoguttatus mitochondrion, complete genome",16540
